Column1,Customer ID,CustomerName,CustomerEmail,CustomerAddress,Store ID,StoreName,Birthdate
183,CU184,Anna Williams,charles79@wallace-thornton.com,"1562 Mcintosh Road Apt. 480, Rodriguezburgh, Thailand",18,"Spice Street, Thailand",15/12/1980
184,CU185,Andrea Rodriguez,madison52@bolton.com,"105 Abigail Shoals Apt. 011, Andrewport, United Kingdom",12,"Royal Retail, United Kingdom",18/08/1989
185,CU186,Taylor Wilson,michaelmorris@green.com,"4373 Alexander Oval Apt. 000, Brownbury, Brazil",15,"Samba Store, Brazil",16/03/1980
186,CU187,Katherine Love,nharvey@ross.com,"2428 Shelly Burg, North Jessefort, Canada",22,"Perplexity Mall,Canada",09/10/1996
187,CU188,Robin Long,dianewise@yahoo.com,"3862 Brown Run, Masonfurt, India",8,"Taj Treasures, India",21/11/1985
188,CU189,Wesley Morales,xnelson@hotmail.com,"82444 Joel Throughway Suite 741, Kendrachester, United Kingdom",12,"Royal Retail, United Kingdom",18/07/2003
189,CU190,Tracy House,uhunt@wilcox-erickson.com,"709 Thornton Shores, Samanthafort, China",9,"Panda Plaza, China",22/09/1972
190,CU191,Jacob Medina,garymacdonald@hayes.net,"014 Hoffman Canyon, Diazfort, Colombia",6,"Rio Retailers, Colombia",16/06/1971
191,CU192,Anna Baker,georgehart@stevenson-smith.biz,"412 Elliott Lodge, Masonport, India",8,"Taj Treasures, India",01/05/1972
192,CU193,John Osborn,garciacarlos@yahoo.com,"61066 Chambers Island, Port Leah, South Korea",16,"K-Pop Kiosk, South Korea",07/11/1991
193,CU194,Katie Larson,robinsonmonica@yahoo.com,"47986 Jason Street, Tonychester, United Kingdom",12,"Royal Retail, United Kingdom",25/04/2002
194,CU195,Victoria Aguilar,hebertjeffrey@powers.com,"9570 Clark Walks Suite 098, Blakeview, South Africa",7,"Kilimanjaro Crafts, South Africa",07/11/1980
195,CU196,Brittany Scott,susangarcia@buchanan-robinson.org,"4934 Rachael Mountain Apt. 067, West Mary, China",9,"Panda Plaza, China",02/12/1991
196,CU197,Lisa Garcia,john21@sanchez-foley.com,"93198 Angela Roads Apt. 876, North Philipport, South Africa",7,"Kilimanjaro Crafts, South Africa",17/10/1982
197,CU198,Amber Hernandez,timothysmith@yahoo.com,"5798 Mathis Crossing, Jennifermouth, South Africa",7,"Kilimanjaro Crafts, South Africa",24/05/1998
198,CU199,Mitchell Martin,brianramirez@jones.com,"3964 Kenneth Stream, Stephenview, Egypt",20,"Pharaoh's Finds, Egypt",25/02/1986
199,CU200,Valerie Taylor,john29@gmail.com,"666 Schultz Bypass Suite 034, Diazhaven, India",8,"Taj Treasures, India",20/08/1984
200,CU201,Melvin Fernandez,vhartman@sanchez.com,"325 Schneider Parkway, Port Danielside, Saudi Arabia",21,"Desert Dunes, Saudi Arabia",24/12/1983
201,CU202,Alyssa Diaz,jessegarcia@contreras.info,"033 Robert Burg Suite 019, South Hailey, France",4,"Café de Paris, France",31/10/1982
202,CU203,Stephanie Wilson,michelle37@hotmail.com,"2318 Douglas Club, South Isaiah, Brazil",15,"Samba Store, Brazil",23/11/1973
203,CU204,Brian Martin,acostaleslie@gmail.com,"34849 Cervantes Expressway Apt. 963, South Bryan, South Africa",7,"Kilimanjaro Crafts, South Africa",11/07/1984
204,CU205,Nicole Smith,snelson@hotmail.com,"49346 King Cliff Suite 577, Port Janicefurt, Turkey",19,"Turkish Treats, Turkey",06/09/1992
205,CU206,Valerie Garcia,erik00@wolfe.com,"733 Daniel Crescent Apt. 695, Glennmouth, Italy",10,"Pasta Palace, Italy",07/07/2002
206,CU207,Spencer Smith,marywilson@gmail.com,"0094 Timothy Loop Apt. 562, New Kevinton, Brazil",15,"Samba Store, Brazil",13/10/1985
207,CU208,Mark Sandoval,elizabethholt@ayers.com,"8392 Lewis Ford Apt. 350, Quinnmouth, India",8,"Taj Treasures, India",06/03/1995
208,CU209,Garrett Petersen,jamessloan@hotmail.com,"490 Sandoval Trail Apt. 811, Chamberston, France",4,"Café de Paris, France",28/12/1998
209,CU210,Laurie Hodges,thomas23@yahoo.com,"48885 Ashley Street Suite 771, Lake Chadbury, Australia",3,"Outback Outfitters, Australia",27/05/1985
210,CU211,Allison Joseph,tfrancis@hotmail.com,"8218 Cynthia Shoals, Lake Williamberg, United States",11,"Union Square Mart, United States",14/04/2001
211,CU212,Caroline Sanders,staceyreynolds@rivera.biz,"67899 Alexander Place Apt. 711, Shellyberg, Saudi Arabia",21,"Desert Dunes, Saudi Arabia",29/01/1991
212,CU213,Brenda Strickland,craiglee@hotmail.com,"921 Fox Center, Chandlerbury, South Korea",16,"K-Pop Kiosk, South Korea",25/11/1984
213,CU214,Debra Nelson,alexisclay@casey.com,"309 Kathleen Spur Suite 532, Lake Davidberg, South Africa",7,"Kilimanjaro Crafts, South Africa",23/10/1972
214,CU215,Jill Hunt,emily05@harmon.info,"4202 Amy Overpass Apt. 039, East Jennifermouth, China",9,"Panda Plaza, China",10/07/1976
215,CU216,Alicia Lopez,matthew95@gmail.com,"4136 Hughes Creek, Wilkinsside, Australia",3,"Outback Outfitters, Australia",06/07/1990
216,CU217,Andrew Coffey,pgarner@mckay.net,"23135 Brown Square Apt. 721, Port Zacharyfort, Thailand",18,"Spice Street, Thailand",24/05/2005
217,CU218,Randy Davis,copelandmichele@yahoo.com,"910 Collins Cove Suite 732, Lake Jackburgh, Japan",2,"Sakura Shop, Japan",03/12/1998
218,CU219,Kelly Williams,vickibentley@gmail.com,"74980 Miller Cliff Apt. 339, Hernandezchester, Thailand",18,"Spice Street, Thailand",17/12/2002
219,CU220,Daniel Lewis,christinahanna@walters.com,"14304 Adam Square, North Henry, Canada",22,"Perplexity Mall,Canada",25/09/1973
220,CU221,Amber Taylor,alexbrown@yahoo.com,"841 Moore Ways Apt. 843, East Erica, Italy",10,"Pasta Palace, Italy",29/01/1975
221,CU222,Miss Sarah Harrison,sparkspatricia@hotmail.com,"33558 Joshua Gateway Suite 560, West Timothy, South Africa",7,"Kilimanjaro Crafts, South Africa",04/04/1983
222,CU223,James Barton,danielledaniel@ramos-mitchell.com,"91902 Karen Groves Suite 697, Lake Christine, Thailand",18,"Spice Street, Thailand",24/08/2003
223,CU224,Anthony Morgan,rogerwilliams@gmail.com,"093 Walker Fords Suite 408, North George, Thailand",18,"Spice Street, Thailand",23/05/1987
224,CU225,Robert Sampson,davidanderson@yahoo.com,"41761 Joseph Inlet Suite 643, South Sandrahaven, France",4,"Café de Paris, France",11/04/1982
225,CU226,Roger Curry,dannypeters@rogers.com,"8088 Medina Road, Port Adam, Egypt",20,"Pharaoh's Finds, Egypt",02/04/2002
226,CU227,Amber Harrington MD,jessicawilliamson@gmail.com,"15973 Robinson Squares Suite 466, North Michaelville, Italy",10,"Pasta Palace, Italy",04/07/1998
227,CU228,Cameron Richardson Jr.,jaimekline@murray-hayes.com,"717 Greer Junctions Suite 545, South Karenberg, China",9,"Panda Plaza, China",27/12/1990
228,CU229,Erika Ware,amanda47@parker.com,"71031 Derek Prairie Apt. 589, New Matthewland, Italy",10,"Pasta Palace, Italy",09/01/1999
229,CU230,Marie Jacobs,kim52@salinas-adams.org,"6327 Eric Turnpike Apt. 080, Daviesburgh, Canada",22,"Perplexity Mall,Canada",31/05/2002
230,CU231,Ms. Mary Ochoa PhD,ann13@chase.net,"479 Sheena Rapids Apt. 225, South Jenniferbury, South Korea",16,"K-Pop Kiosk, South Korea",21/07/1989
231,CU232,Colleen Zhang,sandy65@willis.org,"916 Jonathan Forges, Susantown, United States",11,"Union Square Mart, United States",28/06/1972
232,CU233,Mr. Michael Bailey,ywalker@yahoo.com,"3229 Moran Pike Suite 178, Nicolehaven, Italy",10,"Pasta Palace, Italy",06/08/1971
233,CU234,Phyllis Baxter,andrea78@hotmail.com,"7525 Lisa Highway, Lopezburgh, India",8,"Taj Treasures, India",28/05/1997
